,source,target,total,count,source_num,target_num
4376,adma-opco,adnoc,adma-opco adnoc,24,669,265
534,school of chemical engineering oklahoma state university,chevron houston,school of chemical engineering oklahoma state university chevron houston,24,497,5
2244,rn-yuganskneftegaz,rn-ufanipineft,rn-yuganskneftegaz rn-ufanipineft,24,495,106
2220,rn-ufanipineft,rn-yuganskneftegaz,rn-ufanipineft rn-yuganskneftegaz,24,106,495
4400,adnoc,adma-opco,adnoc adma-opco,24,265,669
5706,sandia national laboratories,university of new mexico,sandia national laboratories university of new mexico,23,157,825
5716,university of new mexico,sandia national laboratories,university of new mexico sandia national laboratories,23,825,157
3520,halliburton,operaciones rio napo cem,halliburton operaciones rio napo cem,22,588,486
3524,operaciones rio napo cem,halliburton,operaciones rio napo cem halliburton,22,486,588
2542,ojsc,,ojsc ,22,171,0
2568,cjsc,,cjsc ,22,36,0
2500,,cjsc, cjsc,22,0,36
2498,,ojsc, ojsc,22,0,171
2472,"cjsc ""investgeoservice""","""schlumberger""","cjsc ""investgeoservice"" ""schlumberger""",22,638,624
2446,"ojsc ""novatek""","""schlumberger""","ojsc ""novatek"" ""schlumberger""",22,813,624
2404,"""schlumberger""","cjsc ""investgeoservice""","""schlumberger"" cjsc ""investgeoservice""",22,624,638
2402,"""schlumberger""","ojsc ""novatek""","""schlumberger"" ojsc ""novatek""",22,624,813
668,queiroz galvao exploracao e producao,baker hughes,queiroz galvao exploracao e producao baker hughes,22,170,421
690,baker hughes,queiroz galvao exploracao e producao,baker hughes queiroz galvao exploracao e producao,22,421,170
7203,schlumberger,bg group,schlumberger bg group,21,287,701
4028,schlumberger,abu dhabi company for onshore petroleum operations ltd,schlumberger abu dhabi company for onshore petroleum operations ltd,21,287,650
7182,bg group,schlumberger,bg group schlumberger,21,701,287
4049,abu dhabi company for onshore petroleum operations ltd,schlumberger,abu dhabi company for onshore petroleum operations ltd schlumberger,21,650,287
7258,schlumberger,talisman energy ltd.,schlumberger talisman energy ltd.,21,287,753
7279,talisman energy ltd.,schlumberger,talisman energy ltd. schlumberger,21,753,287
1454,baker hughes incorporated,bapetco-shell,baker hughes incorporated bapetco-shell,20,583,729
1474,bapetco-shell,baker hughes incorporated,bapetco-shell baker hughes incorporated,20,729,583
3898,schlumberger,petroleum development oman,schlumberger petroleum development oman,20,287,437
2004,kuwait oil company,baker hughes,kuwait oil company baker hughes,20,41,421
3906,petroleum development oman,schlumberger,petroleum development oman schlumberger,20,437,287
1202,shell kuwait exploration and production b.v.,kuwait oil company,shell kuwait exploration and production b.v. kuwait oil company,20,791,41
1190,kuwait oil company,shell kuwait exploration and production b.v.,kuwait oil company shell kuwait exploration and production b.v.,20,41,791
1984,baker hughes,kuwait oil company,baker hughes kuwait oil company,20,421,41
1292,baker hughes inc.,adco,baker hughes inc. adco,18,613,553
1274,adco,baker hughes inc.,adco baker hughes inc.,18,553,613
